source_type,source_link,code,name
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,cs,Czech
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dakota
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,da,Danish
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dargwa
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dayak
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Delaware
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dinka
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Divehi
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dogri
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Duala
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,nl,Dutch
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dyula
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Dzongkha
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Eastern Frisian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Edo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Efik
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Egyptian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ekajuk
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Elamite
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,English
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Erzya
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Esperanto
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,et,Estonian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ethiopic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ewe
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ewondo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Fang
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Fanti
